journal,random_state,n_neighbors,nr_topics,topics_count,outliers_count,silhouette_score
nejm,1664621217,10,auto,206,3925,0.2073624
nejm,272894737,10,auto,216,3737,0.31898323
nejm,468302685,10,auto,208,4026,0.27373084
nejm,1193456760,10,auto,107,3529,-0.33010453
nejm,1190098887,10,auto,217,4228,0.32485297
nejm,2079049974,10,auto,244,4045,0.41701326
nejm,1134146611,10,auto,26,4012,-0.533898
nejm,1510832887,10,auto,6,4043,-0.32176083
nejm,1462468777,10,auto,39,4190,-0.52068424
nejm,807494751,10,auto,225,3831,0.32100433
nejm,208287498,10,auto,206,3952,0.23817511
nejm,1727705149,10,auto,203,3582,0.17025492
nejm,779184585,10,auto,43,4070,-0.5221969
nejm,1408284167,10,auto,248,4109,0.37172425
nejm,2043410316,10,auto,240,4119,0.3903456
nejm,1364710757,10,auto,221,4265,0.24931388
nejm,1994653281,10,auto,46,3883,-0.55246043
nejm,1279465423,10,auto,198,3900,0.25344178
nejm,413912015,10,auto,232,4017,0.29127467
nejm,2105194849,10,auto,86,3935,-0.4038959
nejm,509715013,10,auto,227,3801,0.34623903
nejm,953247717,10,auto,53,3700,-0.5364668
nejm,710997744,10,auto,220,3922,0.30008885
nejm,1171757312,10,auto,94,3864,-0.38041303
nejm,1862590163,10,auto,55,3984,-0.5149159
nejm,859920939,10,auto,211,4048,0.22615623
nejm,1014334770,10,auto,224,4011,0.2695977
nejm,1563777344,10,auto,48,4366,-0.5061827
nejm,1389484200,10,auto,234,4020,0.3133933
nejm,1500746575,10,auto,211,4228,0.23974939
nejm,1211118829,10,auto,227,4017,0.32491666
nejm,155548987,10,auto,223,3928,0.34189016
nejm,1418647831,10,auto,49,3781,-0.481533
nejm,669718258,10,auto,232,4079,0.37803847
nejm,114812792,10,auto,132,3912,-0.12452568
nejm,1195449282,10,auto,37,4155,-0.57372653
nejm,2053229659,10,auto,230,3998,0.33792716
nejm,766165454,10,auto,229,4091,0.32689527
nejm,1809226613,10,auto,219,4208,0.24227183
nejm,858102251,10,auto,213,4149,0.29594895
nejm,862611167,10,auto,248,3941,0.38771623
nejm,2083750402,10,auto,211,3775,0.13307677
nejm,416507298,10,auto,59,3825,-0.50910795
nejm,1097313647,10,auto,239,4235,0.3584169
nejm,918432716,10,auto,214,4053,0.27600512
nejm,1572499433,10,auto,242,4076,0.38338888
nejm,2051149044,10,auto,217,4266,0.23373571
nejm,1390831649,10,auto,51,3992,-0.5148827
nejm,919374271,10,auto,222,3810,0.3124893
nejm,524467940,10,auto,248,3986,0.35366422
nejm,174798557,10,auto,46,3581,-0.55210966
nejm,1392554932,10,auto,220,3877,0.27094835
nejm,263838611,10,auto,227,3914,0.29960355
nejm,1202940887,10,auto,218,3912,0.26883912
nejm,1315181008,10,auto,222,4007,0.2544649
nejm,237567696,10,auto,224,4145,0.28596258
nejm,1832292198,10,auto,240,4085,0.34305832
nejm,314269582,10,auto,7,4120,-0.34543177
nejm,1342321305,10,auto,223,3685,0.31051692
nejm,554749148,10,auto,206,4119,0.24897783
